date,f_open,f_high,f_low,f_close,f_adj_close
2016-11-08,2135.5,2143.25,2119.0,2129.0,1751369
2016-11-09,2160.25,2166.75,2028.5,2138.0,5280237
2016-11-10,2167.25,2180.5,2147.75,2159.5,3132340
2016-11-14,2160.5,2174.5,2152.25,2164.5,1815339
2016-11-15,2179.25,2179.75,2158.5,2161.0,1443589
2016-11-16,2172.75,2185.0,2168.75,2179.0,1327887
2016-11-17,2184.25,2185.5,2171.75,2172.5,1350348
2016-11-18,2180.75,2187.5,2176.5,2184.0,1280719
2016-11-21,2193.0,2196.5,2178.5,2179.5,1233201
2016-11-22,2200.25,2203.0,2191.75,2193.25,1257560
2016-11-23,2200.75,2203.5,2192.0,2201.25,1101994
2016-11-25,2211.25,2211.75,2197.5,2201.0,561560
2016-11-28,2200.75,2209.5,2198.25,2208.0,1371374
2016-11-29,2203.75,2209.5,2196.25,2200.25,1405556
2016-11-30,2198.75,2213.75,2197.25,2203.25,1960189
2016-12-01,2192.0,2203.0,2186.0,2199.5,2148721
2016-12-02,2192.0,2197.25,2184.25,2190.5,1682042
2016-12-05,2204.25,2208.75,2179.0,2184.0,1663731
2016-12-06,2210.0,2212.0,2200.25,2205.0,1483946
2016-12-07,2236.75,2241.25,2206.75,2211.25,2328449
2016-12-08,2247.75,2251.5,2232.5,2236.5,2109978
2016-12-09,2260.0,2261.25,2245.0,2246.75,1090581
2016-12-12,2256.0,2270.25,2252.25,2260.75,1019782
2016-12-13,2273.25,2278.25,2253.25,2256.0,1053815
2016-12-14,2257.0,2277.0,2248.0,2273.25,767129
2016-12-15,2263.5,2272.75,2252.25,2256.0,477530
2016-12-16,2267.5,2269.5,2261.75,2264.25,1415262
2016-12-19,2260.0,2263.75,2254.0,2256.0,928690
2016-12-20,2266.5,2269.5,2260.0,2260.25,814005
2016-12-21,2260.5,2268.0,2258.0,2267.25,667705
2016-12-22,2258.75,2261.0,2251.5,2258.25,847626
2016-12-23,2260.0,2261.0,2254.25,2257.5,396535
2016-12-27,2261.0,2269.5,2257.75,2258.75,498741
2016-12-28,2245.25,2267.5,2243.5,2261.25,1000606
2016-12-29,2245.0,2250.0,2239.5,2245.5,913220
2016-12-30,2236.25,2252.75,2228.0,2246.25,1281987
2017-01-03,2252.5,2259.5,2239.5,2240.75,1810351
2017-01-04,2264.25,2267.25,2251.0,2252.75,1404875
2017-01-05,2264.25,2266.0,2254.0,2264.5,1324035
2017-01-06,2271.5,2277.0,2258.25,2264.25,1551007
2017-01-09,2265.0,2275.25,2263.5,2271.25,1025182
2017-01-10,2263.75,2274.0,2259.5,2264.5,1304523
2017-01-11,2270.5,2271.75,2255.0,2263.75,1733727
2017-01-12,2263.5,2270.5,2248.5,2270.5,1752976
2017-01-13,2272.5,2273.5,2262.75,2264.5,1192660
2017-01-17,2262.75,2270.5,2257.25,2270.25,1540220
2017-01-18,2266.5,2268.5,2258.25,2262.0,1111992
2017-01-19,2261.5,2269.5,2253.0,2265.5,1386240
2017-01-20,2266.0,2272.75,2259.75,2261.0,1737181
2017-01-23,2262.0,2267.5,2251.75,2266.0,1474482
